No#,Computername , Username , Opened Date ,Opened Time, Problem Details , IT assigned , Status,Response Time, Closed Date ,Closure information,
INC#0001,VNHOC3N0051 , tranngo , 05-16-2018 ,12:57.1, pls_describe , nguyechu , in_progress , 11:17:58.61 , still_open , action_info , 
INC#0002,VNHOC1N0032 , nguyeant , 05-16-2018 ,11:20:53.81, pls_describe , nguyeant , done , 11:21:21.12 , Wed 05/16/2018 - 11:36:04.46 , action_info , 
INC#0003,VNHOC1N0032 , nguyeant , 05-16-2018 ,12:09:54.17, install Webex tool , nguyeant , done , 12:10:22.40 , Wed 05/16/2018 - 12:13:34.98 , already installed , 
INC#0004,VNHOC1N0032 , nguyeant , 05-16-2018 ,12:21:30.48, Request to fix net card , nguyeant , done , 12:21:55.27 , Wed 05/16/2018 - 12:23:01.62 , Fix by re-installing driver , 
INC#0005,VNHOC1N0032 , nguyeant , 05-16-2018 ,13:15:21.06, , nguyeant , done , NA , 
INC#0006,VNHOC1N0216 , nguyebao , 05-16-2018 ,13:24:24.43, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#0007,VNHOC1N0032 , nguyeant , 05-16-2018 ,13:24:31.08, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#0008,VNHOC1D0007 , buison , 05-16-2018 ,13:28:41.07, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#0009,VNHOC1D0007 , buison , 05-16-2018 ,13:29:26.29, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00010,VNHOC1N0032 , nguyeant , 05-16-2018 ,13:32:08.44, , notassigned , new , NA , 
INC#00011,VNHOC1N0032 , nguyeant , 05-16-2018 ,13:33:58.15, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00012,VNHOC1N0032 , nguyeant , 05-16-2018 ,13:34:41.81, , notassigned , new , NA , 
INC#00013,VNHOC1N0032 , nguyeant , 05-16-2018 ,13:37:54.56, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00014,VNHOC1N0032 , nguyeant , 05-16-2018 ,13:40:43.39, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00015,VNHOC1N0032 , nguyeant , 05-16-2018 ,13:41:00.69, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00016,VNHOC1N0032 , nguyeant , 05-16-2018 ,13:41:28.23, Testing Helpdesk icon , nguyeant , done , 13:41:55.56 , Wed 05/16/2018 - 13:43:18.01 , The test is good , 
INC#00017,VNHOC1N0032 , nguyeant , 05-16-2018 ,13:47:06.46, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00018,VNHOC1N0032 , nguyeant , 05-16-2018 ,13:47:22.27, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00019,VNHOC1N0032 , nguyeant , 05-16-2018 ,13:47:51.83, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00020,VNHOC1N0032 , nguyeant , 05-16-2018 ,13:59:54.96, Test 1 , nguyeant , done , 15:23:43.01 , Wed 05/16/2018 - 15:24:15.44 , done test 1 , 
INC#00021,VNHOC1N0058 , nguyehie , 05-16-2018 ,14:43:03.73, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00022,VNHOC1N0032 , nguyeant , 05-16-2018 ,14:43:31.04, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00023,VNHOC1N0032 , nguyeant , 05-16-2018 ,14:43:49.21, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00023,VNHOC3N0052 , vopho , 05-16-2018 ,14:44:55.70, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00025,VNHOC1N0248 , tranhon , 05-16-2018 ,14:53:19.74, scan virus , nguyechu , done , 14:53:59.22 , Wed 05/16/2018 - 16:59:21.39 , run malwarebyte and cylance , 
INC#00026,VNHOC1N0270 , buithy , 05-16-2018 ,14:55:49.82, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00027,VNHOC1N0247 , nguyepha , 05-16-2018 ,15:06:02.92, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00028,VNHOC1N0032 , nguyeant , 05-16-2018 ,15:06:55.35, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00027,VNHOC1N0247 , nguyepha , 05-16-2018 ,15:07:03.93, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00030,VNHOC1N0032 , nguyeant , 05-16-2018 ,15:09:25.54, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00031,VNHOC1N0247 , nguyepha , 05-16-2018 ,15:12:40.72, pls_describe , lyquoloc , new , 15:14:09.46 , still_open , action_info , 
INC#00032,VNHOC1N0291 , phamgra , 05-16-2018 ,15:29:25.68, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00033,VNHOC1N0032 , nguyeant , 05-16-2018 ,15:37:47.67, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00034,VNHOC1N0213 , doanjud , 05-16-2018 ,15:38:21.63, user can't upgrade procost to new version , buison , done , 15:52:47.53 , Fri 05/18/2018 - 13:39:30.52 , install newer version for user with manual from Charlie , 
INC#00035,VNHOC1N0032 , nguyeant , 05-16-2018 ,15:47:43.86, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00036,VNHOC1N0238 , caomin , 05-16-2018 ,15:54:11.53, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00037,VNHOC5N0126 , phamhie , 05-16-2018 ,15:55:01.36, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00037,VNHOC5N0126 , phamhie , 05-16-2018 ,15:55:11.26, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00039,VNHOC1N0032 , nguyeant , 05-17-2018 , 9:16:46.33, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00040,VNHOC1N0032 , nguyeant , 05-17-2018 , 9:17:24.38, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00041,VNHOC1N0058 , nguyehie , 05-17-2018 , 9:22:34.97, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00042,VNHOC1N0058 , nguyehie , 05-17-2018 , 9:24:39.86, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00043,VNHOC1N0058 , nguyehie , 05-17-2018 , 9:25:36.42, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00044,VNHOC1N0058 , nguyehie , 05-17-2018 , 9:26:32.33, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00045,VNHOC1N0058 , nguyehie , 05-17-2018 , 9:27:34.56, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00046,VNHOC1N0264 , hoanganh , 05-17-2018 , 9:38:03.90, request to install chrome , nguyechu , done ,  9:39:46.76 , Thu 05/17/2018 - 10:34:10.00 , installed , 
INC#00047,VNHOC1N0216 , nguyebao , 05-17-2018 , 9:44:35.29, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00048,VNHOC1N0058 , nguyehie , 05-17-2018 ,10:01:10.37, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00049,VNHOC5N0109 , ohashtae , 05-17-2018 ,10:18:52.47, can't access Mybest , buison , done , 10:33:02.13 , Fri 05/18/2018 -  9:04:55.52 , request access mybest via citrix , 
INC#00050,VNHOC1N0243 , scholtho , 05-17-2018 ,10:56:07.36, pls_describe , notassigned , new , not_start_yet , still_open , action_info , 
INC#00051,VNHOC1N0243 , scholtho , 05-17-2018 ,10:56:29.47, Test TRUMP Button , nguyehie , done , 10:57:46.08 , Thu 05/17/2018 - 10:59:56.86 , test new WAY IT Service , 
INC#00052,VNHOC7N0073 , nguyequy , 05-17-2018 ,10:59:08.51, request register webex account , nguyechu , done , 11:05:23.18 , Thu 05/17/2018 - 11:32:10.98 , done , 
